ax_lin,ay_lin,az_lin
6.052200,3.466300,-19.509900
5.604900,-0.578400,-7.292200
5.865200,-2.379400,6.492100
4.565700,-2.889400,11.954300
0.944500,-6.080200,8.716100
3.341900,-6.607400,11.851000
1.306700,-4.448700,11.791700
1.390800,1.285700,11.732700
2.522900,6.019200,10.254400
-1.400300,4.861900,-11.287200
1.139900,7.406500,-17.822300
2.514000,-0.604200,-21.832000
2.241700,0.864400,-17.666900
3.226600,-5.509800,-1.762300
0.226900,-4.154900,9.451600
-3.458500,-5.020600,9.440100
-2.845400,-8.810800,9.571600
-1.968500,-8.731000,11.832300
-3.941400,-3.775900,11.773200
1.352000,1.416600,11.714300
1.829000,11.499300,-2.908800
1.746000,11.110600,-15.970100
4.589800,8.131000,-20.277400
5.031500,-0.695900,-21.613000
5.847600,-2.784700,-10.447600
4.019100,-5.713900,4.915700
1.804200,-6.945900,10.126700
1.699900,-4.440000,8.403200
2.234700,-7.024800,11.894600
-0.011700,4.439400,11.835100
-2.537700,-2.367400,11.775900
-7.341100,15.095500,-1.465300
-4.261300,11.969700,-17.121800
-2.238200,11.040100,-20.179400
3.034700,3.297200,-20.567000
-1.353300,-1.523500,-10.376800
2.490100,-1.759000,4.261700
-1.904700,-0.394200,11.618300
-2.705400,-6.459500,9.665700
-2.830100,-4.365900,11.937900
-1.724500,-4.065200,11.878200
-6.567800,1.374200,11.818800
-1.139800,8.842900,11.759700
0.152800,8.624700,-8.635400
-1.957000,5.064200,-18.531900
3.560000,5.877700,-21.808900
5.303300,-0.938600,-19.595600
3.792100,-6.002600,-5.278000
3.754100,-5.174300,7.669300
0.451500,-5.296200,10.373800
0.875800,-5.110000,10.012100
1.340900,-5.968600,11.929900
0.957700,2.695000,11.870200
-0.648500,3.513300,11.810900
2.879300,12.756200,5.847200
0.875000,14.758500,-12.135800
1.585600,11.050600,-18.976500
2.614200,13.669100,-21.486300
4.931800,-1.033500,6.910300
1.589900,-5.193900,-9.293200
1.543900,-8.485100,5.833200
-0.994700,-6.684000,10.882300
-4.399800,-8.895400,7.627400
-1.904200,-9.420500,11.875800
-4.508900,-4.164100,11.816400
0.441800,-2.982700,11.757300
-1.969700,7.131500,-8.351800
2.927800,6.869500,-18.540400
4.428800,5.553100,-20.399500
5.390800,0.392200,-19.318000
5.077900,-4.261400,-6.517400
6.160600,-5.948800,8.137500
3.182000,-2.122800,10.734900
2.201000,-2.090800,8.896300
3.250400,-6.114800,11.925300
0.269600,-0.059900,11.865700
0.959400,2.487900,11.806400
-2.365000,8.306700,-11.882300
0.270600,7.574100,-17.892500
1.212900,3.296800,-23.827400
-1.478900,-4.776700,-12.422200
-1.133100,-3.925900,5.827300
-2.788400,-6.651600,8.772200
-3.746700,-4.683300,10.708700
-4.752700,-1.035300,11.950900
-1.488000,3.857500,11.891200
1.500600,8.864100,-2.339700
-1.442800,6.312800,-15.746900
-5.026800,3.597900,-19.933800
-0.638300,-3.669300,-13.016200
4.252500,-2.745400,5.367300
-2.346000,-5.200500,10.385400
-1.049800,-6.687700,8.875000
1.772200,-2.169400,11.963800
0.374000,-3.733700,11.903900
2.931600,4.396800,5.358400
0.302700,3.374000,-13.968700
-2.072300,0.611800,-19.208300
1.395800,-0.485000,-20.094000
2.973600,-2.603500,-7.225200
3.645000,-5.543100,6.599200
-0.960600,-5.608300,10.715100
-3.639100,-5.048900,7.968700
-1.976600,-7.204100,11.993700
-2.991400,-6.438900,11.933700
2.883500,-6.380500,10.168400
0.683800,5.876500,-6.008500
2.510600,7.481800,-16.454300
3.401200,9.460500,-20.547100
5.793400,-2.070700,-15.792700
5.402200,-0.759200,0.467100
4.579300,-0.564800,10.066100
2.104200,-1.767800,8.597800
3.626000,-3.353200,12.021600
1.761000,-7.733100,11.961500
0.403400,3.324700,11.901700
2.586700,4.873800,11.559200
0.984200,8.614600,-8.692500
0.714800,10.108600,-18.088300
2.469900,14.979000,-20.738400
2.977100,7.137800,-22.088300
3.109900,-0.468800,-14.421300
3.139700,-3.218900,-0.105700
1.772800,-1.456000,9.534200
-2.044200,-3.793700,10.466000
-3.685400,-3.824700,9.074400
-1.164800,-2.440100,12.059700
-1.819100,-2.106200,11.999400
-3.080200,1.736200,11.939400
-1.413300,7.113200,8.098400
1.177000,9.598900,-11.080400
0.856500,6.855700,-18.374300
5.582600,10.248300,-21.139700
2.847500,1.951700,-18.641400
5.473700,-5.712400,-6.725900
5.322400,-4.728200,6.247700
3.696800,-4.151700,10.458300
2.267600,-0.601700,9.631500
2.744700,-5.491100,12.087300
-0.109600,-3.299800,12.026900
0.989600,2.891200,11.966700
3.827600,10.736000,-18.900500
-0.323800,11.795200,-10.386700
0.254600,8.740700,-19.812100
-0.111300,21.768000,-21.266800
2.436700,5.840500,-20.629100
1.790600,-2.372100,-9.683100
1.707800,-4.781400,4.408600
0.231300,9.145200,-17.175200
-3.780500,-1.779100,9.891500
-4.190500,-9.743900,10.904900
-1.741300,-9.695200,12.370100
