time,ax_lin,ay_lin,az_lin
16.160000,-6.998568,4.222745,-9.293911
16.199999,-3.561038,9.603367,-2.602226
16.240000,1.328341,-11.263686,-19.814144
16.279999,2.537212,-16.605320,-5.536647
16.320000,0.584455,-16.762371,5.704018
16.359999,0.655710,-16.915190,5.713763
16.400000,-7.342419,22.244925,1.142267
16.440001,-12.581502,9.111739,2.051165
16.480000,-12.733664,22.027235,-26.178720
16.520000,-13.161468,0.446028,12.772395
16.559999,-5.345156,22.224279,8.239272
16.600000,-13.281424,22.075552,12.546505
16.639999,-13.488340,-0.717269,12.367195
16.680000,-13.689818,-2.741940,12.242001
16.719999,-14.022612,14.452051,11.920725
16.760000,-13.993979,21.698732,-7.763354
16.799999,-13.508155,21.485664,12.176384
16.840000,-11.594118,21.382900,11.789231
16.879999,-13.780154,21.097673,-7.870246
16.920000,-13.947589,18.311901,11.727954
16.959999,-7.909666,3.593241,11.726077
17.000000,-14.027036,-0.658875,11.648293
17.039999,-13.739206,1.519357,-7.804105
17.080000,-5.950518,18.381083,12.091331
17.119999,-13.568538,20.888231,10.263903
17.160000,-14.223207,14.886349,11.534490
17.199999,-8.982543,-15.179914,7.908084
17.240000,-14.603963,-18.212225,6.440464
17.279999,-14.391575,-15.451838,-5.350015
17.320000,-5.640049,-10.152977,-14.134435
17.359999,-9.495761,2.222570,-7.978405
17.400000,-2.573460,-4.406451,1.705589
17.440001,-13.621717,-6.838104,-5.663735
17.480000,-13.347320,11.616080,12.347561
17.520000,-2.457067,-17.608540,-26.588402
17.559999,-12.805241,-2.447195,10.071641
17.600000,-12.826831,21.548309,12.809977
17.639999,-8.061413,21.412750,12.734558
17.680000,-8.099822,21.277586,12.663472
17.719999,-12.635702,1.921108,-6.773499
17.760000,-12.786305,21.289183,-6.837890
17.799999,-12.808219,21.153336,12.728626
17.840000,-12.812336,10.348057,12.705535
17.879999,0.101175,-5.234222,12.450037
17.920000,-5.163009,-2.161855,-1.598811
17.959999,-12.771183,1.171951,-9.860318
